#{"t_start": 1720796808.747204, "env_id": "Walker2d-v4"}
r,l,t
13.395752,22,0.013543
8.897761,23,0.017972
4.919876,16,0.020884
-1.684954,17,0.024041
5.038025,21,0.027562
11.131578,35,0.884351
6.082441,32,1.743161
0.65884,14,2.11071
5.303232,33,2.922485
38.015463,79,4.937842
1.608928,29,5.594577
11.675784,84,7.542606
21.956844,251,14.02296
-11.912045,110,16.821969
20.395301,227,22.23853
167.802429,361,29.994702
271.244702,179,33.857537
-19.193656,176,37.684946
212.158784,119,40.328196
311.613569,336,49.19282
56.325857,259,56.127628
-25.758334,110,59.37717
7.639702,117,63.058089
-50.709136,123,66.396645
-37.974135,130,69.929829
206.397395,246,76.588468
284.509079,141,80.42256
242.490169,235,86.817048
155.157618,562,101.940089
714.117738,950,127.674599
24.483743,88,129.991101
-18.347459,137,134.0485
-19.056896,183,139.103862
49.555356,280,146.933975
290.554398,205,152.764666
261.362907,141,156.403273
260.214777,190,161.604073
20.35205,122,164.924905
64.199749,205,170.470972
258.937076,149,174.494895
221.684794,124,177.868064
-21.351256,114,180.944289
303.125265,159,185.269107
12.376643,87,187.654728
38.290415,158,191.909034
245.629064,141,195.060703
-22.92014,127,197.893351
2.907957,150,201.22448
129.70753,312,208.241274
9.540856,102,210.529944
274.508754,306,217.469709
228.098088,136,220.488885
247.581762,131,223.411354
224.790012,149,226.731504
301.851397,362,234.843623
318.206169,320,241.98215
309.260004,241,247.399556
256.465967,155,250.844449
-14.447345,117,253.495115
30.372855,158,257.027727
271.562751,455,267.332889
79.980606,205,271.957444
286.965762,157,275.733905
122.988309,322,284.58175
14.683355,190,289.783949
325.222785,235,296.19198
93.560168,342,305.605431
274.315466,152,309.04665
230.224028,141,312.217841
268.675585,144,315.46748
6.619895,277,321.745803
235.549191,128,324.653536
352.571448,209,329.353211
349.69581,175,333.39562
424.945462,256,339.153395
288.767196,198,343.687264
321.790448,277,349.930666
296.881952,492,361.025237
-62.926616,157,364.560671
309.596424,197,369.065336
209.678294,137,372.164219
380.390609,285,380.059075
269.287883,147,384.080371
239.773056,138,387.204985
32.994167,161,390.958809
624.784742,472,401.830631
430.364763,383,410.520636
405.221679,343,418.343362
-21.260287,173,422.328375
316.735576,385,431.162462
-22.049198,123,433.971714
50.536284,90,436.025252
174.562193,190,440.325481
236.135577,207,445.01911
137.504422,239,450.434245
340.012917,177,454.453848
428.247432,249,460.202265
367.211761,317,467.408515
943.945428,809,485.857055
438.760984,251,491.65595
318.642863,244,497.275024
351.881421,192,501.65889
414.374844,474,512.46957
110.633036,200,517.099993
439.002516,250,522.80528
292.198139,333,531.509931
-26.325614,319,540.899237
131.087957,261,549.352611
650.677126,531,565.85593
400.647754,317,575.887693
368.488265,259,583.601092
214.997022,103,586.463628
368.768673,260,593.249335
535.605036,288,599.774239
274.023197,175,603.739558
270.350431,167,607.552286
336.21753,243,613.056017
274.986086,207,618.030634
266.257546,154,622.144684
436.359749,210,627.358181
469.782072,361,636.03899
272.943623,186,640.758391
167.954279,102,643.344137
391.981459,275,649.876385
380.196128,271,656.160512
298.409423,186,660.456676
344.5438,373,669.337298
374.388908,232,674.711295
596.768827,316,681.418503
541.631392,581,695.17762
532.425351,283,701.883162
230.770935,168,705.728684
18.24472,151,709.099321
534.434582,294,715.712186
974.31916,609,729.399759
398.275099,374,737.86736
251.629177,314,744.888528
316.956548,206,749.880067
134.190917,166,753.670342
54.921992,125,756.559543
92.263128,252,761.765306
124.978132,151,764.659129
464.202691,415,773.821445
640.410752,440,783.380992
457.958544,274,788.901063
1055.922752,456,797.889451
629.808742,433,807.537039
391.498387,293,814.339987
166.215919,316,823.131858
264.037232,262,829.116456
164.04915,165,832.709412
517.58733,624,844.828361
367.227013,191,848.551772
303.587575,183,852.074713
679.625194,477,862.856395
642.495731,525,874.410656
983.504814,1000,900.023042
343.802212,265,906.628846
205.134057,279,913.346576
1072.844942,855,931.409601
912.130628,1000,955.674327
153.942313,164,958.850334
855.170344,591,972.11132
53.499726,239,978.445339
232.825013,213,983.610338
775.177347,574,995.676093
491.476084,313,1002.590285
364.929919,213,1007.067932
503.173672,383,1015.063423
163.656337,175,1018.532761
104.318533,209,1022.697059
302.056896,229,1027.569707
294.203964,205,1031.648314
357.850841,302,1037.979809
380.91734,327,1045.129047
522.500952,310,1051.882226
389.334436,237,1057.052929
263.833473,176,1060.512486
491.753238,310,1067.803143
248.349587,344,1075.673577
242.215716,209,1079.886302
111.297298,216,1084.20022
199.110591,193,1087.971612
163.855372,152,1090.92471
253.094166,166,1094.170642
643.057362,370,1101.403802
316.354544,230,1105.903839
450.060778,206,1109.929925
192.860223,164,1113.174491
428.637166,258,1118.188567
475.138853,401,1126.02983
214.911033,167,1129.266476
370.466968,456,1138.091207
443.165742,321,1144.323369
372.679174,455,1153.387741
378.784578,245,1158.140529
312.953245,322,1164.408229
221.907173,189,1168.060511
1005.409443,676,1181.214984
216.387615,161,1184.879757
300.304902,221,1190.140332
207.493779,181,1194.354544
751.977371,384,1202.297509
780.152835,717,1216.334346
379.296476,207,1220.349736
758.314915,490,1229.902701
760.069952,707,1244.586671
499.997886,321,1252.063466
563.727994,375,1260.804379
350.864434,194,1265.090092
1255.316439,757,1280.250631
887.929175,430,1288.588426
937.61812,632,1300.898837
346.644335,286,1307.697606
743.713048,407,1315.771182
97.170149,196,1319.670486
339.695728,237,1324.600974
659.863478,357,1331.607405
448.388228,224,1337.404973
517.319079,278,1343.711073
247.401033,187,1348.170736
682.047155,310,1354.724767
1173.651318,656,1367.687244
449.994782,238,1372.332688
752.940602,562,1383.233063
210.790894,117,1385.494214
195.88784,134,1388.124974
288.461004,349,1394.918206
352.669174,194,1399.23975
1241.809346,782,1414.853004
419.16987,205,1418.862357
279.825141,274,1424.343893
412.617369,214,1429.207291
448.543293,257,1434.778446
378.726868,209,1439.216476
502.333916,299,1445.173407
407.165733,263,1450.879468
904.475632,471,1461.616818
310.45531,246,1468.436863
303.791621,229,1474.743703
361.456839,275,1482.30919
365.195626,243,1489.073225
243.421619,396,1499.916891
506.538908,307,1507.545326
400.709455,389,1515.448391
266.077547,377,1522.891783
1480.264628,903,1540.332867
1222.066787,865,1559.129716
417.350478,209,1563.2205
1084.413592,808,1579.26722
299.635535,239,1584.009859
293.652606,225,1588.377678
218.396761,292,1594.828837
610.543,321,1601.096442
776.258471,685,1614.431446
601.010784,561,1625.613873
218.266603,208,1629.706551
479.568993,324,1637.287408
1010.083062,1000,1662.343435
335.043566,228,1668.738801
410.608071,289,1676.756403
621.785565,504,1690.750764
860.638867,595,1707.381922
1034.535794,814,1724.078764
548.781276,251,1729.768423
699.128044,420,1738.424597
609.013505,343,1745.031049
388.531288,280,1750.431824
794.533031,423,1758.693075
1727.124851,1000,1778.387857
1127.951405,1000,1797.915904
394.743781,295,1804.160485
924.283083,1000,1828.551492
55.153249,100,1831.232871
301.151572,213,1836.911075
371.479362,215,1842.689716
742.860063,410,1851.369297
564.740068,314,1858.02746
826.224082,560,1869.790817
756.010274,522,1881.228652
1271.008199,637,1894.091361
545.170146,286,1899.649286
339.770044,224,1904.78054
546.640111,508,1915.900773
372.656095,280,1921.384923
529.607541,338,1927.962483
658.97111,298,1933.763917
775.193831,371,1941.347012
1138.930103,1000,1960.888452
735.022547,683,1974.176222
880.888641,543,1985.830086
1085.312046,1000,2006.049118
803.304666,1000,2025.671352
324.999708,208,2029.730869
1072.533016,1000,2049.26009
517.428073,382,2056.679744
1053.7699,1000,2078.836406
421.799308,271,2084.643606
1805.415116,1000,2108.30136
1059.30391,609,2123.615799
531.089707,253,2129.068047
1059.751624,773,2144.815479
326.393557,212,2149.132813
716.331021,305,2157.17931
346.489699,252,2164.11891
268.903394,187,2169.250992
435.450085,350,2178.882993
395.39628,406,2189.834473
995.069997,1000,2210.723671
491.672914,257,2215.688249
951.987014,654,2229.206123
487.141821,377,2236.917976
558.920825,295,2242.641127
252.312509,183,2246.53131
1229.282288,591,2258.537824
308.487621,218,2262.773821
372.974268,327,2269.176886
473.543926,247,2273.990989
752.804212,484,2283.459669
269.789065,191,2287.205079
1075.123852,1000,2308.529203
342.416233,284,2314.078882
653.910498,455,2322.953979
298.824941,228,2327.415771
1517.308595,997,2349.251236
1199.830339,652,2362.416566
1321.947039,629,2375.270384
333.409858,273,2380.628686
306.442402,311,2386.684097
961.521568,481,2396.063299
655.444997,365,2403.149102
327.022662,230,2407.625213
944.134908,570,2418.688297
462.22754,437,2427.364907
908.137577,363,2434.392894
507.374593,258,2439.423403
871.496677,669,2452.933133
318.185636,242,2457.618256
841.062577,377,2464.93977
1107.121329,572,2476.078273
1238.173333,742,2490.491663
1005.292673,1000,2511.274996
580.127593,299,2517.385803
1291.872648,1000,2536.922345
963.739336,804,2553.155646
1325.621901,1000,2572.756274
606.178078,461,2582.259822
1189.095014,746,2597.209259
1032.142572,623,2609.373335
1471.107155,1000,2632.04886
998.763214,1000,2653.496918
1180.371079,1000,2674.866121
941.809514,569,2687.260355
325.311811,236,2692.018983
721.001434,761,2707.90338
1421.446352,877,2724.882082
828.640711,637,2737.315539
979.710828,523,2748.086996
958.45256,631,2760.470238
1347.330264,1000,2779.9577
1097.303852,1000,2800.737823
1239.958332,1000,2820.677044
1166.199694,1000,2840.256443
1110.202003,1000,2859.819663
1273.44035,1000,2879.801287
1273.621024,1000,2902.456072
1400.536697,1000,2924.646296
1110.589229,812,2940.39829
713.846268,404,2948.223475
1573.386654,1000,2970.027233
668.614349,369,2978.578443
1560.330275,1000,2998.072864
233.890071,172,3001.421886
-10.439525,140,3004.151213
1111.682153,1000,3023.984324
1474.479205,865,3042.046847
1320.186753,1000,3061.574011
482.589075,299,3067.384477
1435.642141,1000,3086.793086
934.992964,579,3098.07707
518.992621,395,3105.964872
1429.735367,1000,3125.894881
557.334972,256,3130.894199
1090.926254,459,3140.503201
337.34403,281,3146.855387
1869.519943,1000,3167.33795
1417.023722,1000,3186.960394
978.069747,414,3195.162174
1290.649374,1000,3215.181008
1440.818407,1000,3237.215965
595.758194,268,3243.360976
1425.238382,1000,3271.108498
2036.976446,863,3293.264579
1231.409063,1000,3313.024366
1884.15229,980,3332.392047
1811.488278,985,3354.150288
879.943133,518,3365.505771
1661.506395,865,3384.50389
651.340804,291,3391.887852
1270.463486,1000,3413.197026
567.718726,311,3419.284319
1375.736404,1000,3439.005355
1411.14521,1000,3458.426528
377.834011,202,3462.351171
1335.163725,739,3476.771137
1501.44916,1000,3496.803624
1079.276576,598,3509.725221
1607.149763,1000,3530.320848
1524.740111,1000,3549.866948
1740.986997,1000,3570.200316
679.428845,449,3579.062023
1606.149414,1000,3598.57103
1188.432316,949,3617.245436
1517.477398,786,3632.778534
319.67029,220,3637.081583
1463.640945,1000,3660.792555
1479.982404,1000,3684.462355
554.337973,418,3692.707592
1594.408709,879,3710.758805
1332.944578,995,3732.67311
982.363838,597,3744.341779
1585.028679,1000,3765.02991
267.66787,199,3768.908849
1236.652135,790,3785.111889
1629.658616,972,3804.769429
596.960659,355,3811.671852
631.831661,277,3817.05915
677.057132,336,3823.721486
1097.335544,621,3836.281571
1571.544488,1000,3857.923834
1177.28245,588,3874.014143
1386.212766,1000,3894.299803
849.239261,404,3902.187422
