#{"t_start": 1720693212.6348329, "env_id": "Humanoid-v4"}
r,l,t
83.758841,17,1.955459
177.653823,34,1.966086
112.104665,22,1.972306
119.081177,23,1.978136
112.762222,22,2.650774
89.368805,18,3.334112
94.355373,19,4.098734
106.944152,22,5.280193
89.464136,18,5.957966
94.567688,19,6.662999
115.128025,23,7.759347
88.565593,18,8.935406
96.115386,19,10.254082
83.296167,17,11.411812
106.332552,21,12.702743
133.90687,26,14.225981
78.294088,16,15.246323
88.409311,18,16.501061
100.672932,20,17.778052
83.646687,17,18.772073
104.309799,21,20.032187
83.291122,17,21.043713
308.140432,58,24.432766
269.69199,51,27.505092
311.148736,57,31.677565
258.330271,47,35.206678
322.195588,58,39.590944
376.834442,69,44.834556
306.640201,55,49.001358
300.701924,54,52.969716
291.568375,53,56.923716
537.111051,103,64.876193
318.264935,73,70.627019
263.62522,58,74.945302
237.324209,56,79.250422
334.769155,62,84.043666
358.268468,65,88.966512
232.546255,43,92.111954
216.120247,40,95.510319
217.928081,42,98.593643
385.540823,82,105.721429
325.366187,61,111.148524
421.97955,79,118.180676
295.625228,62,123.262975
319.800985,60,126.909471
277.079063,57,132.926444
210.190056,45,137.602292
194.384274,42,142.350232
264.774691,51,148.774949
287.488345,53,155.013291
347.565241,65,165.728134
333.634526,60,180.50427
320.515267,58,190.357008
305.347411,56,200.583729
407.07541,74,214.688316
354.755187,71,223.524086
316.293981,67,232.323814
218.464853,40,236.897012
192.526024,37,241.49626
163.814262,30,244.95764
266.224873,52,250.504778
296.979321,63,257.59014
338.697335,63,264.334514
243.747285,45,269.55056
248.603769,46,273.677069
276.358136,50,279.214765
322.371989,58,284.856592
299.60779,54,291.217028
313.275271,57,297.116712
304.318744,55,303.400793
411.892713,74,310.570201
349.147894,63,317.473676
424.216847,83,326.282065
342.338514,62,332.641637
293.555207,54,337.940324
372.530553,67,344.525913
622.824189,128,357.568029
424.370629,87,366.455145
325.194138,59,372.032155
263.485712,56,378.004185
303.976234,65,384.534129
373.368161,67,391.035305
407.879355,75,398.739797
419.167788,86,407.111061
452.01517,86,416.588495
393.70517,74,425.632004
311.469016,58,432.203331
